category_key,category_id,category_name
385,nocategory.385,51.19 Osteopathic medicine/osteopathy (DO)
386,nocategory.386,"51.20 Pharmacy, pharmaceutical sciences and administration"
387,nocategory.387,51.21 Podiatric medicine/podiatry (DPM)
388,nocategory.388,51.22 Public health
389,nocategory.389,51.23 Rehabilitation and therapeutic professions
60,nocategory.60,23.14 English literature
61,nocategory.61,"23.99 English language and literature/letters, other"
258,nocategory.258,14.04 Architectural engineering
259,nocategory.259,14.05 Bioengineering and biomedical engineering
64,nocategory.64,30.13 Medieval and renaissance studies
65,nocategory.65,30.21 Holocaust and related studies
66,nocategory.66,30.22 Classical and ancient studies
67,nocategory.67,30.29 Maritime studies
252,nocategory.252,04.10 Real estate development
69,nocategory.69,"38.00 Philosophy and religious studies, general"
250,nocategory.250,04.08 Architectural history and criticism
251,nocategory.251,04.09 Architectural sciences and technology
256,nocategory.256,"14.02 Aerospace, aeronautical and astronautical/space engineering"
257,nocategory.257,14.03 Agricultural engineering
254,nocategory.254,14. Engineering
255,nocategory.255,"14.01 Engineering, general"
168,nocategory.168,52.10 Human resources management and services
169,nocategory.169,52.11 International business/trade/commerce
164,nocategory.164,52.06 Business/managerial economics
165,nocategory.165,52.07 Entrepreneurial and small business operations
166,nocategory.166,52.08 Finance and financial management services
167,nocategory.167,52.09 Hospitality administration/management
160,nocategory.160,"52.02 Business administration, management and operations"
161,nocategory.161,52.03 Accounting and related services
162,nocategory.162,52.04 Business operations support and assistant services
163,nocategory.163,52.05 Business/corporate communications
9,nocategory.9,13.05 Educational/instructional media design
357,nocategory.357,03.03 Fishing and fisheries sciences and management
356,nocategory.356,03.02 Natural resources management and policy
355,nocategory.355,03.01 Natural resources conservation and research
354,nocategory.354,03. Natural resources and conservation
353,nocategory.353,"01.99 Agriculture, agriculture operations and related sciences, other"
352,nocategory.352,01.12 Soil sciences
351,nocategory.351,01.11 Plant sciences
350,nocategory.350,01.10 Food science and technology
359,nocategory.359,03.06 Wildlife and wildlands science and management
358,nocategory.358,03.05 Forestry
216,nocategory.216,41.03 Physical science technologies/technicians
217,nocategory.217,"41.99 Science technologies/technicians, other"
214,nocategory.214,41.01 Biology technician/biotechnology laboratory technician
215,nocategory.215,41.02 Nuclear and industrial radiologic technologies/technicians
212,nocategory.212,41. Science technologies/technicians
213,nocategory.213,"41.00 Science technologies/technicians, general"
210,nocategory.210,40.10 Materials sciences
211,nocategory.211,"40.99 Physical sciences, other"
218,nocategory.218,"Mathematics, computer and information sciences"
219,nocategory.219,11. Computer and information sciences and support services
