category_key,category_id,category_name
124,1416,Court clerks
125,142,Office equipment operators
126,1422,Data entry clerks
127,1423,Desktop publishing operators and related occupations
128,143,"Financial, insurance and related administrative support workers"
129,1431,Accounting and related clerks
414,65,Service representatives and other customer and personal services occupations
415,651,Occupations in food and beverage service
416,6511,Maîtres d'hôtel and hosts/hostesses
417,6512,Bartenders
410,641,Sales and account representatives - wholesale trade (non-technical)
411,6411,Sales and account representatives - wholesale trade (non-technical)
412,642,Retail salespersons
413,6421,Retail salespersons
498,7293,Insulators
418,6513,Food and beverage servers
419,652,Occupations in travel and accommodation
499,7294,Painters and decorators (except interior decorators)
319,43,Occupations in front-line public protection services
318,4217,Other religious occupations
313,4211,Paralegal and related occupations
312,421,"Paraprofessional occupations in legal, social, community and education services"
311,42,"Paraprofessional occupations in legal, social, community and education services"
310,4169,"Other professional occupations in social science, n.e.c."
317,4216,Other instructors
316,4215,Instructors of persons with disabilities
315,4214,Early childhood educators and assistants
314,4212,Social and community service workers
496,7291,Roofers and shinglers
497,7292,Glaziers
3,nocategory.3,All occupations
368,5242,Interior designers and interior decorators
369,5243,"Theatre, fashion, exhibit and other creative designers"
366,524,Creative designers and craftspersons
367,5241,Graphic designers and illustrators
364,5231,Announcers and other broadcasters
365,5232,"Other performers, n.e.c."
362,5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts"
363,523,"Announcers and other performers, n.e.c."
360,5225,Audio and video recording technicians
361,5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts"
380,6211,Retail sales supervisors
381,622,Technical sales specialists in wholesale trade and retail and wholesale buyers
382,6221,Technical sales specialists - wholesale trade
383,6222,Retail and wholesale buyers
384,623,"Insurance, real estate and financial sales occupations"
385,6231,Insurance agents and brokers
386,6232,Real estate agents and salespersons
387,6235,Financial sales representatives
388,63,Service supervisors and specialized service occupations
389,631,Service supervisors
605,9,Occupations in manufacturing and utilities
579,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
578,825,"Contractors and supervisors, agriculture, horticulture and related operations and services"
604,8616,Logging and forestry labourers
573,823,"Underground miners, oil and gas drillers and related occupations"
572,8222,"Contractors and supervisors, oil and gas drilling and services"
571,8221,"Supervisors, mining and quarrying"
570,822,"Contractors and supervisors, mining, oil and gas"
577,8241,Logging machinery operators
576,824,Logging machinery operators
575,8232,"Oil and gas well drillers, servicers, testers and related workers"
574,8231,Underground production and development miners
60,07,"-09 Middle management occupations in trades, transportation, production and utilities"
61,071,Managers in construction and facility operation and maintenance
258,3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
259,3215,Medical radiation technologists
64,0714,Facility operation and maintenance managers
65,073,Managers in transportation
66,0731,Managers in transportation
67,081,Managers in natural resources production and fishing
252,3144,Other professional occupations in therapy and assessment
69,082,"Managers in agriculture, horticulture and aquaculture"
250,3142,Physiotherapists
